slno,fname,lname,email,phoneNo
1,Theodore,Vazquez,Theodore.Vazquez@amazon.com,(781) 946-2985
2,Kiley,Aguilar,Kiley.Aguilar@amazon.com,(447) 458-7796
3,Kamora,Caldwell,Kamora.Caldwell@amazon.com,(815) 544-9009
4,Lisa,Farley,Lisa.Farley@amazon.com,(468) 252-9191
5,Korbin,Zavala,Korbin.Zavala@amazon.com,(276) 704-6687
6,Eliana,Deleon,Eliana.Deleon@amazon.com,(245) 427-5480
7,Kason,Edwards,Kason.Edwards@amazon.com,(819) 774-2671
8,Harmony,Valdez,Harmony.Valdez@amazon.com,(345) 639-4461
9,Alyson,Holder,Alyson.Holder@amazon.com,(987) 821-2441
10,Noelle,York,Noelle.York@amazon.com,(725) 533-2838
11,Shane,Booker,Shane.Booker@amazon.com,(820) 770-4575
12,Raina,Valentine,Raina.Valentine@amazon.com,(800) 386-1616
13,Tyson,Austin,Tyson.Austin@amazon.com,(289) 610-2475
14,Brooks,Norton,Brooks.Norton@amazon.com,(620) 343-3055
15,Sawyer,Pruitt,Sawyer.Pruitt@amazon.com,(505) 730-0715
16,Martha,Stanley,Martha.Stanley@amazon.com,(872) 544-3150
17,Van,Villanueva,Van.Villanueva@amazon.com,(593) 933-5049
18,Emily,Murray,Emily.Murray@amazon.com,(211) 571-4625
19,Duncan,Mckee,Duncan.Mckee@amazon.com,(466) 322-8717
20,Francis,Mathews,Francis.Mathews@amazon.com,(282) 538-2784
21,Nina,Hayden,Nina.Hayden@amazon.com,(430) 850-0741
22,Jamir,Terrell,Jamir.Terrell@amazon.com,(251) 465-2768
23,Lane,Powell,Lane.Powell@amazon.com,(382) 792-6993
24,Leyla,French,Leyla.French@amazon.com,(904) 384-3155
25,Aaden,Petersen,Aaden.Petersen@amazon.com,(399) 626-7614
26,Ari,Perkins,Ari.Perkins@amazon.com,(323) 792-5897
27,Rashad,Schneider,Rashad.Schneider@amazon.com,(693) 524-3761
28,Veronica,Mcneil,Veronica.Mcneil@amazon.com,(690) 806-3616
29,Amina,Montgomery,Amina.Montgomery@amazon.com,(259) 353-6491
30,Memphis,Conley,Memphis.Conley@amazon.com,(326) 430-8751
31,Silas,Sawyer,Silas.Sawyer@amazon.com,(396) 336-3879
32,Dominik,Riggs,Dominik.Riggs@amazon.com,(801) 778-0200
33,Cali,Morris,Cali.Morris@amazon.com,(848) 683-4678
34,Tristian,Pollard,Tristian.Pollard@amazon.com,(576) 309-5128
